dt,price_gbp,crypto
2019-05-14 00:00:00.000,6.0054517947987e-05,ecomi
2019-05-15 00:00:00.000,6.11842954075875e-05,ecomi
2019-05-16 00:00:00.000,0.0001274148301592082,ecomi
2019-05-17 00:00:00.000,0.0001231095379597132,ecomi
2019-05-18 00:00:00.000,5.79225949519455e-05,ecomi
2019-05-19 00:00:00.000,4.499636845490765e-05,ecomi
2019-05-20 00:00:00.000,3.684640498944828e-05,ecomi
2019-05-21 00:00:00.000,3.423512806396697e-05,ecomi
2019-05-22 00:00:00.000,6.033754962899312e-05,ecomi
2019-05-23 00:00:00.000,5.024530998484767e-05,ecomi
2019-05-24 00:00:00.000,4.712971702556343e-05,ecomi
2019-05-25 00:00:00.000,4.642979647068406e-05,ecomi
2019-05-26 00:00:00.000,5.415655219584043e-05,ecomi
2019-05-27 00:00:00.000,5.333726288754454e-05,ecomi
2019-05-28 00:00:00.000,5.500660409308834e-05,ecomi
2019-05-29 00:00:00.000,5.176807312545349e-05,ecomi
2019-05-30 00:00:00.000,4.829322439487096e-05,ecomi
2019-05-31 00:00:00.000,5.06096390112696e-05,ecomi
2019-06-01 00:00:00.000,4.921255169763111e-05,ecomi
2019-06-02 00:00:00.000,5.687699057836224e-05,ecomi
2019-06-03 00:00:00.000,5.944353800805165e-05,ecomi
2019-06-04 00:00:00.000,5.7859614421350105e-05,ecomi
2019-06-05 00:00:00.000,5.538573726545999e-05,ecomi
2019-06-06 00:00:00.000,5.305033923742121e-05,ecomi
2019-06-07 00:00:00.000,5.545069982359461e-05,ecomi
2019-06-08 00:00:00.000,5.061295140497101e-05,ecomi
2019-06-09 00:00:00.000,5.259179013127414e-05,ecomi
2019-06-10 00:00:00.000,5.381640055485261e-05,ecomi
2019-06-11 00:00:00.000,4.888863667912211e-05,ecomi
2019-06-12 00:00:00.000,4.4691965558788194e-05,ecomi
2019-06-13 00:00:00.000,4.8352391070454734e-05,ecomi
2019-06-14 00:00:00.000,4.6717499005400484e-05,ecomi
2019-06-15 00:00:00.000,5.076162810270337e-05,ecomi
2019-06-16 00:00:00.000,4.683883379068561e-05,ecomi
2019-06-17 00:00:00.000,4.879444539906045e-05,ecomi
2019-06-18 00:00:00.000,4.670291490447828e-05,ecomi
2019-06-19 00:00:00.000,4.907765125289121e-05,ecomi
2019-06-20 00:00:00.000,5.191843171725519e-05,ecomi
2019-06-21 00:00:00.000,4.345376611325407e-05,ecomi
2019-06-22 00:00:00.000,4.910467847468997e-05,ecomi
2019-06-23 00:00:00.000,4.385163811279279e-05,ecomi
2019-06-24 00:00:00.000,4.824690972068015e-05,ecomi
2019-06-25 00:00:00.000,4.821064099786229e-05,ecomi
2019-06-26 00:00:00.000,5.625854767019182e-05,ecomi
2019-06-27 00:00:00.000,5.332378565067104e-05,ecomi
2019-06-28 00:00:00.000,5.0265894150087326e-05,ecomi
2019-06-29 00:00:00.000,4.716728340904061e-05,ecomi
2019-06-30 00:00:00.000,4.895550345704984e-05,ecomi
2019-07-01 00:00:00.000,4.1718919125972044e-05,ecomi
2019-07-02 00:00:00.000,4.042092636835632e-05,ecomi
2019-07-03 00:00:00.000,3.589080240335414e-05,ecomi
2019-07-04 00:00:00.000,4.4102916471807914e-05,ecomi
2019-07-05 00:00:00.000,4.549671675778596e-05,ecomi
2019-07-06 00:00:00.000,4.547498901717747e-05,ecomi
2019-07-07 00:00:00.000,4.607000687152129e-05,ecomi
2019-07-08 00:00:00.000,4.518443272683841e-05,ecomi
2019-07-09 00:00:00.000,4.685305029794358e-05,ecomi
2019-07-10 00:00:00.000,4.070380923027737e-05,ecomi
2019-07-11 00:00:00.000,4.050225180891401e-05,ecomi
2019-07-12 00:00:00.000,4.108209086015347e-05,ecomi
2019-07-13 00:00:00.000,3.497167271039147e-05,ecomi
2019-07-14 00:00:00.000,4.264635476161614e-05,ecomi
